id,RT_average_music,RTVar_music,RT_average_no_music,RTVar_no_music
1,364.8687753,50.34411585,340.8226962,51.08783843
2,346.7753528,59.49468303,364.2012433,54.90709348
3,333.7379736,36.99240431,341.4132476,51.71125693
4,282.2049397,25.01205987,279.8198231,59.95917008
5,263.842298,31.68925851,251.1037581,30.40748199
6,301.6318856,69.40447722,285.6636475,60.54723313
7,307.42564,69.49462836,286.3625979,50.4988498
8,290.6530424,61.67215231,315.8039392,106.3617069
9,314.6493755,49.41512099,319.1807495,35.9247254
10,277.1257435,33.23768768,280.497069,34.16901962
11,338.749874,87.20197753,318.7204509,65.54662082
12,308.8803243,38.7732473,342.7773897,34.94931777
13,279.2004427,59.09870331,279.8451229,70.00324485
14,275.9417625,65.75061418,300.338195,49.24266578
15,335.1204459,173.0054654,318.8624086,58.18766959
16,283.5620538,77.49653865,274.553041,59.35772378
17,272.5581047,47.32402589,272.1672252,47.27588964
18,304.4522338,138.5653724,272.9305815,58.85428437
19,246.6468019,33.08488409,248.0976802,25.32309156
20,339.8683786,107.3680922,300.4693548,46.50127659
21,343.7865225,168.1600031,387.7574651,248.331083
22,303.8581477,85.44205189,289.7892967,54.27638147
23,350.2076385,111.2527624,317.6062371,72.74515426
24,291.872531,45.54293374,279.3627068,41.53810892
25,350.113333,86.51184314,311.1626824,55.04495068
26,287.7293854,41.70199281,291.9682306,53.23828046
27,455.768233,322.3695861,606.6706154,468.6121434
28,348.600498,58.79933396,356.1483252,82.57147459
29,408.916885,116.3667447,400.580599,168.4925781
30,329.8069489,48.49772451,334.6084763,132.279492
31,362.5057643,110.5026719,334.8096505,116.2670797
